expense_no,expense_date,supplier_id,expense_category,total_expense,created_at
1,2026-01-03,1,Maintenance,3200,2026-01-03 11:00:00+00
2,2026-01-20,1,Maintenance,2800,2026-01-20 11:00:00+00
3,2026-01-10,2,Cleaning,1800,2026-01-10 11:00:00+00
4,2026-01-15,5,Electrical,3200,2026-01-15 11:00:00+00
5,2026-01-25,3,Office Supplies,950,2026-01-25 11:00:00+00
6,2026-02-05,1,Maintenance,5600,2026-02-05 11:00:00+00
7,2026-02-12,2,Cleaning,1800,2026-02-12 11:00:00+00
8,2026-02-18,1,Maintenance,4200,2026-02-18 11:00:00+00
9,2026-02-20,4,Landscaping,4500,2026-02-20 11:00:00+00
10,2026-02-28,3,Office Supplies,950,2026-02-28 11:00:00+00
11,2026-03-01,5,Electrical,5000,2026-03-01 11:00:00+00
12,2026-03-06,1,Maintenance,3600,2026-03-06 11:00:00+00
13,2026-03-14,2,Cleaning,1800,2026-03-14 11:00:00+00
14,2026-03-20,1,Maintenance,3000,2026-03-20 11:00:00+00
15,2026-03-25,4,Landscaping,2800,2026-03-25 11:00:00+00
