inspection_no,inspection_date,tenant_id,room_no,inspector_staff_id,result,total_fines,created_at
1,2026-01-15,1,101,4,Pass,0.00,2026-01-15 14:00:00+00
2,2026-02-28,2,102,1,Fail,800.00,2026-02-28 14:00:00+00
3,2026-03-10,6,202,4,Pass,0.00,2026-03-10 14:00:00+00
4,2026-03-15,5,301,1,Pass,0.00,2026-03-15 14:00:00+00
5,2026-01-31,3,201,4,Pass,0.00,2026-01-31 14:00:00+00
6,2026-02-14,7,203,1,Fail,1200.00,2026-02-14 14:00:00+00
7,2026-02-20,9,302,4,Pass,0.00,2026-02-20 14:00:00+00
8,2026-03-01,10,401,1,Pass,0.00,2026-03-01 14:00:00+00
9,2026-03-05,8,104,4,Fail,500.00,2026-03-05 14:00:00+00
10,2026-03-08,1,101,1,Pass,0.00,2026-03-08 14:00:00+00
11,2026-03-12,2,102,4,Pass,0.00,2026-03-12 14:00:00+00
12,2026-03-18,4,103,1,Pass,0.00,2026-03-18 14:00:00+00
13,2026-03-20,9,302,4,Fail,700.00,2026-03-20 14:00:00+00
14,2026-03-22,6,202,1,Pass,0.00,2026-03-22 14:00:00+00
15,2026-03-25,5,301,4,Pass,0.00,2026-03-25 14:00:00+00
